date,open,high,low,close,volume,per,pbr,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,ind,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
20150102,169000,170500,167000,169000,458014,7.93,0.64,8.93,0.0,0.0088757396449703,-0.0118343195266271,0.0,-0.3432116256592777,-0.0162980209545984,-0.1206969703369086,-0.0105386416861826,-0.2344560466680049,-0.0373113073198518,-0.2480213345259546,-0.0223207829147182,-0.4525018753927178,-0.1411692464056577,-0.3744206439794317,0.03071303497273,-0.1208599107621477,0.0447497449019809,0.0737088918807051,0.0436514887244181,0.0330032626347812,,-0.1856056801757151,-0.0371115150888295,-0.0253030356006233,0.0309988522224072,0.0670334897991412,0.0050709396937336,,-0.0676791539123258,0.049495193693051,-0.133926876906484,-0.1810618447265454,-0.1657150388356456,-0.0634562864128227,
20150105,171000,171000,166000,168000,454073,7.93,0.64,8.93,0.0118343195266272,0.0178571428571427,-0.0119047619047618,-0.0059171597633136,-0.0086045404725619,-0.0140845070422535,-0.0322263697656446,-0.015817223198594,-0.1715941894668167,-0.040411252320434,-0.2473857281362789,-0.0267921795800144,-0.455479167451971,-0.1441670911869587,-0.3803353893611138,0.0532271242729693,0.0225140893002392,0.0790775594685973,0.0534721642242051,0.0459180033579271,0.0287062146001139,,-0.0958414175694216,0.0897642626062935,-0.0878808466933439,0.0251572168198254,0.0580278424853498,0.0030519761931382,,-0.1783369634397993,-0.1106578095274735,-0.1514129107292315,-0.1676628527130529,-0.1699096906552197,-0.060716314990257,
20150106,166500,167000,164000,164500,635059,7.93,0.64,8.93,-0.0089285714285713,0.0151975683890577,-0.0030395136778115,-0.0208333333333333,0.3985834876770915,-0.0231591448931116,0.2568636190192703,-0.0346244131455398,0.2294281096269217,-0.0548692904337834,0.0747582293657764,-0.0458236658932714,-0.2342518630368245,-0.1598748749813802,-0.1363672983741835,0.1672757964220647,0.1140486721490953,0.1067860322034415,0.0503925792170351,0.0720515597710659,0.0287452707793627,,-0.2352301124777382,-0.1393886949083166,-0.1537676784054085,0.0044762553731271,0.0305780203832973,0.0017991649887438,,-0.1085237749563426,0.0698131884834566,-0.1419991645042119,-0.1550149993657582,-0.1774851537012347,-0.0621692840209864,
20150107,163000,171500,163000,170000,511006,7.93,0.64,8.93,-0.0091185410334346,0.0088235294117646,-0.0411764705882352,0.033434650455927,-0.1953409053332052,0.0113027959547888,-0.0727546955078304,-0.0023474178403756,0.0121411942175131,-0.0181923187987294,-0.1270235071359011,-0.013157894736842,-0.3795884319732976,-0.129618568137213,-0.3061405792467772,-0.1457908517708206,-0.3130666481928854,0.0513996099263642,0.0337027038397546,0.0786284605199773,0.0259762195193518,,-0.1637475880909421,0.0714825243867961,-0.1657837926801405,-0.0223420561268661,0.0114066408757742,-0.0007405906720201,,0.1481058930814902,0.2566296680378329,-0.0647216693664709,-0.1241832734807215,-0.1730388906865382,-0.0595510586929695,
20150108,172500,178000,171000,178000,902742,7.93,0.64,8.93,0.0147058823529411,0.0,-0.0393258426966292,0.0470588235294117,0.7665976524737479,0.0476751030017656,0.5244416044613551,0.0403272939801286,0.6471115856602316,0.0302416437563304,0.5164510145865318,0.0333317207682259,0.0908683130931982,-0.0868673050615596,0.2199767678687636,-0.281360565920274,-0.1355697141494533,-0.0351870924046661,0.0026330057510389,0.0651233823496791,0.0220500245857121,,-0.1511838376856289,0.0125637504053132,-0.1663217271998892,-0.0601786361201447,0.0081651755991607,-0.0061891320103737,,0.3259081775302356,0.1778022844487454,0.0238948356606516,-0.0658892102407474,-0.1601722500814016,-0.0518146757517384,
20150109,180000,182500,177500,180000,717579,7.93,0.64,8.93,0.0112359550561798,0.0138888888888888,-0.0138888888888888,0.0112359550561797,-0.2051117595060382,0.0459035444509006,0.1140942952541856,0.0468159348647863,0.2319219265515442,0.0422698320787493,0.1896503360164247,0.0445379370375742,-0.1341810319647089,-0.074906848259026,-0.0343823197620711,-0.40419661110484,-0.1228360451845659,-0.1221690216201801,-0.0387096383590995,0.0328480754125886,0.012792084094491,,0.0677054373107351,0.218889274996364,-0.1156595037025991,-0.0704812696516112,0.0144131860485729,-0.0055144759773171,,0.2330280010981369,-0.0928801764320987,0.0840362666627441,-0.0249453051218699,-0.1361169891026308,-0.044721584739335,
20150112,178000,179500,175500,177500,684147,7.93,0.64,8.93,-0.011111111111111,0.0112676056338028,-0.0112676056338028,-0.0138888888888888,-0.0465899921820455,0.0201149425287356,-0.0086357672858077,0.0307781649245064,0.1802760286379712,0.0285383166739099,0.1119774219564453,0.0297814736027848,-0.1753211548439411,-0.085699568604726,-0.0800412552286899,-0.0589332409555256,0.3452633701493143,-0.1446010946658791,-0.0327617675986409,0.0236754512291772,0.0101933165399298,,-0.0836793846936404,-0.1513848220043755,-0.1132270971274429,-0.1005539719103934,0.0069915719656441,-0.0044231696012526,,0.0365988596018107,-0.1964291414963262,0.1270234312710661,-0.0121947397290826,-0.1236105644415666,-0.0447865171110753,
20150113,181500,181500,178000,179500,713861,7.93,0.64,8.93,0.0225352112676056,0.0111420612813371,-0.0083565459610027,0.0112676056338028,0.0434321863576103,0.0141242937853107,0.0113250796538157,0.0393746381007527,0.1788251034273664,0.0396756443672168,0.1552105000276318,0.0402279422417539,-0.1290135530446894,-0.0731896217890796,-0.0397873885165017,-0.2288540766339665,-0.1699208356784409,-0.2238270692770854,-0.0585205185368219,0.0056491544430106,0.0030781035646551,0.0350251085865274,0.0173044892493076,0.100983873942948,-0.0627201767820337,-0.1082439275937211,-0.0033158021269018,-0.0031877034954603,-0.070663628720692,0.0931904110183915,0.0565915514165808,0.167366268466013,0.0126835519809005,-0.1013141063694329,-0.0406446288487845,0.0153613744023143
20150114,181000,182500,176500,177500,392613,7.93,0.64,8.93,0.0083565459610028,0.028169014084507,-0.0056338028169014,-0.011142061281337,-0.450014778787467,-0.0056022408963585,-0.424480099632301,0.0242354298903635,-0.36330769350524,0.0283893395133256,-0.3569837344872958,0.0271000096441316,-0.5106797423322684,-0.0812827535638033,-0.4719846189343955,-0.0835199038238672,0.1453341728100993,-0.2113728796876947,-0.0799866348806652,-0.0036107688500223,-0.0003980531453182,0.0353485561555126,-0.2036814878773754,-0.220985977126683,-0.0707069567393203,-0.1182453747097304,-0.0175629448225413,-0.0060418975449998,-0.0706682482003966,0.2131666552049983,0.1199762441866067,0.1803784208907146,0.0578283757621218,-0.0803996743769806,-0.0354690156872098,0.0143723947445497
20150115,178000,178000,173500,174500,378944,7.93,0.64,8.93,0.0028169014084507,0.0200573065902578,-0.0057306590257879,-0.0169014084507042,-0.0348154544042097,-0.0185601799775028,-0.3437390029731805,0.003738855335059,-0.3520151544842903,0.011008111239861,-0.3620139498839249,0.0092052629042362,-0.5214286014978089,-0.0945452186885175,-0.4910309147707397,0.1571577858469853,0.2406776896708525,-0.1236692093342428,-0.0794281508694544,-0.0056535216018653,0.005250081183972,0.0372548474091487,-0.226843544164837,-0.0231620562874615,-0.085838898035162,-0.1260803126175256,-0.0317659871452572,-0.0115295827200302,-0.0710240326111622,0.0762487333220739,-0.1369179218829243,0.1304465320490822,0.0771706838548669,-0.0602803557733265,-0.0354578737470022,0.0128561170449699
