date,open,high,low,close,volume,per,pbr,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,ind,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
20150102,24880,27740,24860,27440,5814505,50.89,6.83,14.81,-0.798705501618123,0.0109329446064139,-0.0940233236151603,0.1100323624595469,27.23452431823479,-0.7358693978130294,3.174137441388398,-0.7624324698711733,5.3052761707503535,-0.7777543797127977,7.16786554169499,-0.7995870987846682,6.844258714478942,-0.8083279101525437,7.664654394908515,-0.1322717926977447,-0.0668194191447962,-0.0261828224197173,-0.0459091512697513,-0.0180756391930391,-0.0412076488869066,,0.1163529827560557,-0.1280967491995032,0.1072973632961946,0.0966442908722798,0.0332636139660576,0.0263338019877628,,0.0125341710085381,0.2429164256896041,-0.0902556739866695,-0.0623126733374252,-0.0215595954298896,0.0175481711283417,
20150105,28100,29160,27920,28900,6872685,50.89,6.83,14.81,0.0240524781341107,0.0089965397923874,-0.033910034602076,0.0532069970845481,0.1819896964573941,-0.6600319969885187,1.550759773776988,-0.7268017847689632,3.3690146190382197,-0.7549019607843137,5.608140962443453,-0.7855855098341317,7.090669804667234,-0.797123458682332,8.462672688697705,-0.1671260940956845,-0.0348543013979398,-0.0911589866572114,-0.0578883760385633,-0.023774111903044,-0.0441268373396844,,0.1195668068593279,0.0032138241032721,0.1419701214375618,0.0988230594038505,0.0387673760666111,0.028013612834684,,0.0409374211097991,0.028403250101261,-0.0640735265392419,-0.0531911702457406,-0.021733291800693,0.0187222954046009,
20150106,28860,29860,28500,29060,5229540,50.89,6.83,14.81,-0.0013840830449827,0.0275292498279422,-0.0192704748795595,0.0055363321799307,-0.2390834149971954,-0.5624811803673593,0.4213102665460231,-0.6981406460995118,1.55661531068175,-0.7413900507252825,3.080268993742907,-0.7810950270555297,4.642981910332144,-0.7949887711789674,5.827048757411891,-0.028896423012349,0.1382296710833355,-0.0807257653890358,-0.0495266325304856,-0.0268315924488103,-0.0458270092499849,,0.0935483809283417,-0.0260184259309862,0.1531890182314126,0.0993352462454969,0.0479906275960021,0.0305650180952746,,-0.0652064999980877,-0.1061439211078869,-0.0876704933949195,-0.0603514702297115,-0.0278592650516286,0.0179874478269794,
20150107,28800,29860,28560,29640,4295315,50.89,6.83,14.81,-0.0089470061940811,0.0074224021592441,-0.0364372469635627,0.019958706125258,-0.1786438195328843,-0.3789808917197452,-0.0419933445389216,-0.6561644471254234,0.7755474165158112,-0.7228922421046726,1.917326285535582,-0.7736119986659097,3.3698062125439954,-0.789781518882901,4.392766200595228,-0.2521782453673363,-0.2232818223549872,-0.1291849857452126,-0.0519350940749847,-0.0415009328710335,-0.0508684744033119,,0.2561476864909791,0.1625993055626374,0.1660131177980527,0.1101033831986576,0.0671763086055972,0.0355943073811959,,-0.0050392113267595,0.0601672886713282,-0.0494312747775151,-0.0670967896188622,-0.0319108212135289,0.0179412358743218,
20150108,29980,30300,29300,29460,3656030,50.89,6.83,14.81,0.0114709851551957,0.0285132382892057,-0.0054310930074678,-0.0060728744939271,-0.1488330890749573,0.0193771626297578,-0.2933316452809109,-0.6132335565183142,0.3330652639843179,-0.7103102414081321,1.2358148921906975,-0.772116649047263,2.5694556492998246,-0.7899615000712962,3.436235283401639,-0.1658506631510135,0.0863275822163227,-0.1492646436648256,-0.0670004395824766,-0.0503475990154851,-0.054965355558098,,0.0313919743546962,-0.2247557121362829,0.1234015662778801,0.1103159919213141,0.0702414017794942,0.0371105296903657,,0.1336504350347234,0.1386896463614829,0.0233752631656427,-0.0502368624297468,-0.0260115342742352,0.0205577177074235,
20150109,29840,30020,29420,29900,3287035,50.89,6.83,14.81,0.0128988458927359,0.0040133779264213,-0.0160535117056855,0.0149355057705363,-0.1009277823212611,0.0172836145890038,-0.2958547989651511,-0.5513205282112845,0.0846323292292299,-0.6900751490023322,0.8431143422431198,-0.7654104663022727,2.1627364528051283,-0.7856989273000932,2.8671499317300007,-0.2214442499091126,-0.055593586758099,-0.1670991351070992,-0.0966409787634083,-0.0615710531787168,-0.0603716007681543,,0.1252101057640092,0.093818131409313,0.1251729908794708,0.1162351770878327,0.077045572100683,0.0380330480738321,,0.090233295355845,-0.0434171396788784,0.038915088035104,-0.0256702929757827,-0.0208964508565031,0.0247481395528708,
20150112,29600,29720,28280,29080,4987730,50.89,6.83,14.81,-0.0100334448160535,0.0220082530949106,-0.0275103163686382,-0.0274247491638796,0.5173948558503332,-0.0118254723392686,0.162334862844985,-0.4917683246530812,0.4280242132493406,-0.6822864884353592,1.500108082395251,-0.7685137275817326,3.513446100989208,-0.7904066097356178,4.624049117926193,0.0854817722691484,0.3069260221782611,-0.1165775618341325,-0.103868274245672,-0.0626315723428975,-0.058749243889912,-0.0048333236601821,0.0259977985977589,-0.0992123071662503,0.106459189227157,0.1242146553323594,0.0812421328204397,0.0374470888141291,0.0264564826115844,-0.1242669510979944,-0.2145002464538394,0.0058742135935453,-0.0290996564728483,-0.0246584996027217,0.0234989231716338,-0.0210729074999095
20150113,29080,29460,28340,28520,3019265,50.89,6.83,14.81,0.0,0.0329593267882188,-0.0063113604488078,-0.0192572214580467,-0.3946614993193296,-0.0272851296043655,-0.2155868617784793,-0.404219761855024,-0.1979057693992071,-0.6712581407411676,0.4288644035595619,-0.7695322495925871,1.6452550357503006,-0.7933146118307818,2.321215097233266,0.0321750492255565,-0.0533067230435919,-0.1043632673865514,-0.0925445163877936,-0.0641329291417706,-0.0569039535933556,-0.0049387007365137,0.0125229153452909,-0.0134748832524679,0.0902540961105468,0.1217215571709797,0.0838184196248934,0.0357049301149809,0.0267004834875367,-0.0522130386037661,0.0720539124942283,0.0084729058724096,-0.0395987937612549,-0.0266215348867242,0.0233553531911456,-0.0212806431429456
20150114,28500,29100,28120,28880,2345760,50.89,6.83,14.81,-0.0007012622720897,0.0076177285318559,-0.0263157894736841,0.0126227208976157,-0.2230691906805133,-0.0098738343390016,-0.3218708335308762,-0.2488555971702039,-0.4093337980920033,-0.6484864713543251,0.0677988981473045,-0.7629185319775397,1.0154672147266854,-0.7895028389419748,1.5340108190791142,-0.1004642418661755,-0.1326392910917321,-0.0740204666863193,-0.1016027262157659,-0.0696188224593501,-0.0563129593091926,-0.0041703552132758,0.1805278459859491,0.1680049306406581,0.0751301280095408,0.1205716229037967,0.096414258854565,0.0365735852901188,0.0276911041398597,-0.0925904610872382,-0.0403774224834721,-0.009037344079686,-0.0292343094286006,-0.0347427947109686,0.0217082838915186,-0.0230232492338045
20150115,29100,30900,28920,30880,6105915,50.89,6.83,14.81,0.0076177285318559,0.0006476683937823,-0.0634715025906735,0.0692520775623268,1.6029581031307552,0.0484856716012493,0.5461375018010246,0.0584041678091582,0.3386119282374755,-0.6008169807906099,1.4657251955838757,-0.7423144964785207,3.867787362000539,-0.7736493544095495,5.269207158084479,-0.1345261111561494,-0.0340618692899738,-0.0677555562873465,-0.108510099976086,-0.0711669732907855,-0.0566289502646799,-0.0041601044243929,0.1293860133984832,-0.0511418325874658,0.0947289358182983,0.1090652510480892,0.1002575604082854,0.0350483542634791,0.0274323423319366,-0.0011095798090867,0.0914808812781514,-0.0359893470484481,-0.0063070419414027,-0.0371760927402557,0.0233080674256446,-0.0228099027409068
