"code","name","date","open","high","low","close","volume","diffratio","high_close_ratio","low_close_ratio","open_lastclose_ratio","volume_lastvolume_ratio","trans_price_exp","trans_price_exp_ma5","close_ma5_ratio","close_ma10_ratio","close_ma20_ratio","close_ma60_ratio","close_ma120_ratio","volume_ma5_ratio","volume_ma10_ratio","volume_ma20_ratio","volume_ma60_ratio","volume_ma120_ratio","close_ubb_ratio","close_lbb_ratio","rsi","buy_strength_ma5_ratio","sell_strength_ma5_ratio","prevvalid_cnt","eps","bps","per","pbr","roe","roa","eps_krx","bps_krx","per_krx","pbr_krx","roe_krx","dps_krx","dyr_krx","marketcap","ind","ind_diff","ind_ma5","ind_ma10","ind_ma20","ind_ma60","ind_ma120","inst","inst_diff","inst_ma5","inst_ma10","inst_ma20","inst_ma60","inst_ma120","foreign","foreign_diff","foreign_ma5","foreign_ma10","foreign_ma20","foreign_ma60","foreign_ma120","bal_rto","bal_rto_diff","bal_rto_ma10","bal_rto_ma120","bal_rto_ma20","bal_rto_ma5","bal_rto_ma60","short_ratio","short_ratio_diff","short_ratio_ma10","short_ratio_ma120","short_ratio_ma20","short_ratio_ma5","short_ratio_ma60","adx","lbb","ma20","macd","macd_signal","minus_dmi","plus_dmi","rsi_signal","ubb","macd_signal_ratio","trans_price_mean","macd_signal_sign"
"035720","카카오","20150102",24880,27740,24860,27440,5814505,0.11003236245954692,0.010932944606413919,-0.0940233236151603,-0.798705501618123,27.23452431823479,25.747853021211743,24.567387908141846,-0.7358693978130294,-0.7624324698711733,-0.7777543797127977,-0.7995870987846682,-0.8083279101525437,3.174137441388398,5.3052761707503535,7.16786554169499,6.844258714478942,7.664654394908515,-0.8387779695721791,-0.6424007204790846,11.31117266851339,0.10310015135954909,0.10287906898028631,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,27.97,3.45,0.12334644261708975,1133.0,0.83,29.699961876531784,-0.1322717926977447,-0.06681941914479621,-0.026182822419717366,-0.04590915126975135,-0.01807563919303917,-0.04120764888690663,"",0.11635298275605577,-0.12809674919950323,0.10729736329619462,0.09664429087227984,0.0332636139660576,0.026333801987762823,"",0.01253417100853813,0.2429164256896041,-0.09025567398666957,-0.062312673337425274,-0.021559595429889652,0.017548171128341748,"",0.0197,0.0,0.019700000000000002,0.0197,0.0197,0.019700000000000002,0.0197,0.012532000000000001,-0.025097999999999995,0.056280300000000005,0.06020599166666667,0.053829249999999995,0.035431599999999994,0.05236363333333334,0.4258373647054572,76733.93536128497,123467.0,-12055.490512442062,-5913.509390537905,0.8413122544478276,0.034571557122220105,6.7508328949675604,170200.06463871503,1.0386355573784707,0.07295036898244052,""
"035720","카카오","20150105",28100,29160,27920,28900,6872685,0.05320699708454811,0.008996539792387459,-0.03391003460207609,0.02405247813411071,0.18198969645739416,26.00072478380067,24.859573956973453,-0.6600319969885187,-0.7268017847689632,-0.7549019607843137,-0.7855855098341317,-0.797123458682332,1.550759773776988,3.3690146190382197,5.608140962443453,7.090669804667234,8.462672688697705,-0.8396185694147883,-0.4804828300982863,12.682467430544655,0.08316781478405755,0.08299381025616892,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,29.45,3.64,0.1235993208828523,1133.0,0.78,29.75180166879249,-0.16712609409568457,-0.03485430139793988,-0.09115898665721148,-0.05788837603856338,-0.02377411190304408,-0.04412683733968448,"",0.1195668068593279,0.003213824103272131,0.14197012143756185,0.09882305940385057,0.038767376066611105,0.02801361283468405,"",0.04093742110979916,0.028403250101261025,-0.06407352653924195,-0.05319117024574062,-0.021733291800693076,0.01872229540460098,"",0.0197,0.0,0.019700000000000002,0.0197,0.0197,0.0197,0.0197,0.03763,-0.02597400000000001,0.0557652,0.060152775000000006,0.057167350000000006,0.0422536,0.05245528333333333,0.48813210117096756,55628.57528937403,117912.0,-17709.83260586011,-8272.774033603506,0.8283091089881873,0.04679723900441021,8.061960922372823,180195.42471062596,1.1407368959823927,0.07295036898244052,""
"035720","카카오","20150106",28860,29860,28500,29060,5229540,0.005536332179930796,0.027529249827942248,-0.019270474879559574,-0.0013840830449827202,-0.23908341499719543,25.74350472456827,25.139665648022387,-0.5624811803673593,-0.6981406460995118,-0.7413900507252825,-0.7810950270555297,-0.7949887711789674,0.4213102665460231,1.55661531068175,3.080268993742907,4.642981910332144,5.827048757411891,-0.8431231378678199,-0.2642883559205019,13.121080559575496,0.04709047402721356,0.04699421944091475,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,29.62,3.66,0.12356515867656989,1133.0,0.78,29.757322731816238,-0.028896423012349078,0.1382296710833355,-0.08072576538903584,-0.049526632530485656,-0.02683159244881033,-0.04582700924998496,"",0.0935483809283417,-0.026018425930986203,0.15318901823141265,0.0993352462454969,0.0479906275960021,0.03056501809527462,"",-0.06520649999808778,-0.10614392110788694,-0.0876704933949195,-0.06035147022971157,-0.027859265051628602,0.01798744782697948,"",0.0197,0.0,0.019700000000000002,0.0197,0.0197,0.0197,0.0197,0.06360400000000001,0.05573100000000001,0.06168359999999999,0.060583175,0.06261905000000001,0.0448416,0.0529138,0.5400447109050815,39499.17095081329,112370.0,-21925.283907687568,-11003.276008421393,0.8167915404509857,0.053303469360247775,2.9903417533432393,185240.82904918672,0.9926141897110443,0.07295036898244052,""
"035720","카카오","20150107",28800,29860,28560,29640,4295315,0.01995870612525809,0.007422402159244168,-0.036437246963562764,-0.008947006194081175,-0.17864381953288433,25.55564413711812,25.402216846242858,-0.37898089171974525,-0.6561644471254234,-0.7228922421046726,-0.7736119986659097,-0.789781518882901,-0.04199334453892167,0.7755474165158112,1.917326285535582,3.3698062125439954,4.392766200595228,-0.8419482347406303,0.12313123592601061,9.086320040383644,0.01641448404670287,0.016381663487294862,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,30.21,3.73,0.12346904998344918,1133.0,0.76,29.777084874101988,-0.2521782453673363,-0.22328182235498722,-0.12918498574521262,-0.05193509407498479,-0.041500932871033513,-0.050868474403311964,"",0.25614768649097913,0.16259930556263744,0.1660131177980527,0.1101033831986576,0.06717630860559723,0.035594307381195935,"",-0.005039211326759504,0.06016728867132828,-0.04943127477751518,-0.0670967896188622,-0.03191082121352892,0.017941235874321854,"",0.0197,0.0,0.0197,0.0197,0.0197,0.019700000000000002,0.0197,0.007873,-0.047646,0.0663842,0.060271316666666665,0.06048215,0.0673456,0.053626716666666664,0.5850356391759295,26390.50455716523,106962.0,-24931.85762647423,-13788.992332032836,0.8044541862144222,0.05249833885758355,3.526354862657758,187533.49544283477,0.8080985924225734,0.07295036898244052,""
"035720","카카오","20150108",29980,30300,29300,29460,3656030,-0.006072874493927126,0.02851323828920571,-0.005431093007467802,0.011470985155195734,-0.1488330890749573,25.41146391605269,25.691838116550297,0.01937716262975786,-0.6132335565183142,-0.7103102414081321,-0.772116649047263,-0.7899615000712962,-0.29333164528091094,0.3330652639843179,1.2358148921906977,2.5694556492998246,3.436235283401639,-0.8434318678467566,0.9344538993873717,8.379888268156424,-0.012526533018424546,-0.012502044370629406,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,30.02,3.71,0.12358427714856762,1133.0,0.77,29.770993484708583,-0.16585066315101354,0.08632758221632275,-0.14926464366482564,-0.06700043958247663,-0.050347599015485134,-0.054965355558098096,"",0.03139197435469621,-0.22475571213628293,0.12340156627788015,0.11031599192131417,0.07024140177949421,0.03711052969036575,"",0.13365043503472346,0.13868964636148295,0.0233752631656427,-0.05023686242974683,-0.02601153427423522,0.02055771770742355,"",0.0197,0.0,0.0197,0.0197,0.0197,0.019700000000000002,0.0197,0.055519,0.008876999999999996,0.06797210000000001,0.06069165,0.06133105000000001,0.081151,0.05377,0.6223164013331136,15229.104198001194,101695.0,-27017.66673262039,-16434.727212151014,0.7938119476751112,0.057624653299009856,3.677182117282756,188160.8958019988,0.6439376439813909,0.07295036898244052,""
"035720","카카오","20150109",29840,30020,29420,29900,3287035,0.014935505770536322,0.004013377926421313,-0.016053511705685586,0.012898845892735933,-0.1009277823212611,25.31010641181731,25.60428879467141,0.01728361458900385,-0.5513205282112845,-0.6900751490023322,-0.7654104663022727,-0.7856989273000932,-0.2958547989651511,0.08463232922922992,0.8431143422431198,2.1627364528051283,2.8671499317300007,-0.84023990837216,4.160178017992834,8.8466803559206,-0.012282835577543061,-0.012258716801703096,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,30.47,3.76,0.12340006563833278,1133.0,0.76,29.793454032686107,-0.22144424990911263,-0.055593586758099084,-0.16709913510709923,-0.0966409787634083,-0.06157105317871685,-0.060371600768154315,"",0.1252101057640092,0.093818131409313,0.1251729908794708,0.11623517708783271,0.07704557210068301,0.03803304807383215,"",0.09023329535584501,-0.04341713967887845,0.03891508803510408,-0.025670292975782754,-0.02089645085650319,0.024748139552870866,"",0.0197,0.0,0.0197,0.0197,0.0197,0.0197,0.0197,0.046642,-0.003928000000000001,0.065965,0.06063521666666667,0.05993625,0.077129,0.05309856666666667,0.6546263951134639,5794.373739770759,96475.0,-28308.85288881204,-18809.552347483695,0.7866076936124361,0.05710167976118959,4.161758932076953,187155.62626022924,0.505025338500368,0.07295036898244052,""
"035720","카카오","20150112",29600,29720,28280,29080,4987730,-0.0274247491638796,0.022008253094910613,-0.02751031636863821,-0.010033444816053505,0.5173948558503332,25.709198506109004,25.54598353913308,-0.011825472339268672,-0.4917683246530812,-0.6822864884353592,-0.7685137275817326,-0.7904066097356178,0.162334862844985,0.4280242132493406,1.500108082395251,3.513446100989208,4.624049117926193,-0.8433979618123227,-12.033440194239347,8.929188255613123,0.006483372575650792,0.006470609892143875,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,29.64,3.66,0.12348178137651822,1133.0,0.78,29.765646204954784,0.08548177226914849,0.30692602217826115,-0.11657756183413259,-0.10386827424567205,-0.06263157234289755,-0.05874924388991207,-0.004833323660182134,0.0259977985977589,-0.0992123071662503,0.10645918922715703,0.12421465533235942,0.08124213282043978,0.03744708881412918,0.0264564826115844,-0.12426695109799447,-0.21450024645383947,0.00587421359354535,-0.02909965647284831,-0.0246584996027217,0.023498923171633837,-0.021072907499909532,0.0197,0.0,0.0197,0.0197,0.0197,0.0197,0.0197,0.050570000000000004,-0.125554,0.06266540000000001,0.060297675,0.0580229,0.0692768,0.052403349999999994,0.683044187412953,-2635.6240200751636,91529.0,-29063.266350587794,-20860.295148104844,0.7843281403050534,0.05553159461691579,4.181459566074951,185693.62402007516,0.3932337075886574,0.07295036898244052,""
"035720","카카오","20150113",29080,29460,28340,28520,3019265,-0.01925722145804677,0.03295932678821889,-0.006311360448807868,0.0,-0.3946614993193296,25.18865464838204,25.435013523895833,-0.027285129604365577,-0.40421976185502406,-0.6712581407411676,-0.7695322495925871,-0.7933146118307818,-0.2155868617784793,-0.19790576939920712,0.4288644035595619,1.6452550357503006,2.321215097233266,-0.8446880989005506,-3.8180462708314398,3.8454561944494827,-0.00887429532490902,-0.008856750891336973,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,29.07,3.59,0.12349501203990368,1133.0,0.79,29.74620114783556,0.03217504922555655,-0.05330672304359194,-0.10436326738655148,-0.09254451638779367,-0.06413292914177068,-0.05690395359335562,-0.004938700736513795,0.01252291534529099,-0.013474883252467911,0.09025409611054688,0.12172155717097974,0.08381841962489349,0.035704930114980916,0.026700483487536793,-0.05221303860376615,0.07205391249422832,0.008472905872409675,-0.03959879376125492,-0.02662153488672424,0.023355353191145605,-0.021280643142945657,0.0197,0.0,0.0197,0.0197,0.0197,0.019700000000000002,0.0197,0.176124,0.09922399999999999,0.059358900000000006,0.06027908333333333,0.0605438,0.0785256,0.0519018,0.7076729406881006,-10120.486769575087,86755.0,-29367.79453613724,-22561.795025711544,0.7674936479397343,0.0543396876106864,3.113226254213762,183630.4867695751,0.30166037332887474,0.07295036898244052,""
"035720","카카오","20150114",28500,29100,28120,28880,2345760,0.01262272089761571,0.0076177285318559385,-0.02631578947368418,-0.0007012622720897754,-0.22306919068051334,24.93242391016236,25.31036947850468,-0.009873834339001686,-0.2488555971702039,-0.6484864713543251,-0.7629185319775397,-0.7895028389419748,-0.3218708335308762,-0.4093337980920033,0.06779889814730455,1.0154672147266854,1.5340108190791142,-0.840386320866858,-2.737783295848036,4.177261169633127,-0.014097974742050101,-0.014069970443783442,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,29.43,3.63,0.12334352701325178,1133.0,0.78,29.75874486631409,-0.10046424186617557,-0.13263929109173211,-0.07402046668631933,-0.10160272621576598,-0.0696188224593501,-0.05631295930919266,-0.004170355213275833,0.18052784598594912,0.16800493064065813,0.07513012800954089,0.12057162290379679,0.09641425885456503,0.03657358529011883,0.02769110413985971,-0.09259046108723826,-0.040377422483472106,-0.009037344079686076,-0.029234309428600634,-0.03474279471096862,0.02170828389151867,-0.023023249233804558,0.0197,0.0,0.019700000000000002,0.0197,0.0197,0.019700000000000002,0.019699999999999995,0.07690000000000001,0.04149100000000001,0.05009,0.05911699166666667,0.0538587,0.0654228,0.049104600000000005,0.7291216153886884,-16618.873060295242,82159.0,-29242.99043205323,-23898.03410698002,0.7559763534265175,0.053187124542047534,2.978554408260524,180936.87306029524,0.22365673683226017,0.07295036898244052,""
"035720","카카오","20150115",29100,30900,28920,30880,6105915,0.06925207756232687,0.0006476683937823857,-0.06347150259067358,0.0076177285318559385,1.6029581031307552,25.933387803194876,25.414754255933115,0.04848567160124939,0.05840416780915825,-0.6008169807906099,-0.7423144964785207,-0.7736493544095495,0.5461375018010246,0.33861192823747555,1.4657251955838757,3.8677873620005396,5.269207158084479,-0.8248573781850419,-2.429798385301021,6.138392857142858,0.019495523665017833,0.019456953317870118,5,3046.0,22688.0,50.89,6.83,14.81,8.29,4906.0,39739.0,31.47,3.89,0.12360978709882428,1133.0,0.73,29.82570427744604,-0.1345261111561494,-0.03406186928997383,-0.0677555562873465,-0.10851009997608607,-0.07116697329078556,-0.05662895026467996,-0.0041601044243929795,0.12938601339848327,-0.05114183258746585,0.0947289358182983,0.10906525104808922,0.10025756040828548,0.03504835426347916,0.027432342331936605,-0.0011095798090867625,0.09148088127815149,-0.035989347048448125,-0.006307041941402719,-0.037176092740255726,0.02330806742564461,-0.02280990274090687,0.0197,0.0,0.019700000000000002,0.0197,0.0197,0.0197,0.0197,0.035409,0.028028000000000004,0.0437921,0.05933225833333333,0.0507352,0.0547932,0.04886775,0.7345985448591077,-21597.450603847697,77358.0,-28652.414867338724,-24848.910259051838,0.7196722656212069,0.09342550908263925,76.21951219512195,176313.45060384768,0.15306524787747433,0.07295036898244052,""
