date,open,high,low,close,volume,per,pbr,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,ind,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120,Daily Return,Correlation
2015-02-03,27600,27600,27180,27320,5654400,10.23,1.46,15.03,0.0087719298245614,0.0102489019033675,-0.0051244509516837,-0.0014619883040936,-0.4625605930995152,-0.0010238408658768,-0.5024212787414102,-0.0090678273485672,-0.5453161995980185,0.0086763891452834,-0.5385032574476277,0.0491148573403479,-0.5499548116235673,0.0977912910700653,-0.5626342781439674,-0.0280931663837011,-0.0248615344095542,-0.0005288101415319,-0.060564933689998,-0.072761829439517,-0.0788990686694814,-0.0329675733872824,0.0336994199207696,0.0724124700110652,0.0594919959562205,0.0632384255609178,0.0551775438124874,0.0479422525911097,-0.0376294099437708,-0.0023521505376344,-0.0432037806108213,-0.0572042686271034,-0.0916800668614011,-0.0957272701714772,-0.0743425516930135,0.0193644557695795,-0.0014619883040936088,0.5564121969332034
2015-02-04,27500,27620,27180,27180,9328900,10.23,1.46,15.03,0.006588579795022,0.0161883738042678,0.0,-0.0051244509516837,0.6498479060554612,-0.0033734232912877,-0.1567713460076595,-0.0115644774165394,-0.2031702700486525,0.0015845524560562,-0.2227610399900355,0.041698604936379,-0.2607288187304115,0.0916612556648168,-0.2783208111377331,0.0405889225953756,0.0686820889790768,0.0019757167493291,-0.0342762948217015,-0.0701340345289624,-0.0784674651819392,-0.0351363079707169,0.0723879557075325,0.0386885357867628,0.0689241178644721,0.0634250650939528,0.0549273983886339,0.0502202694907912,-0.0356216531137879,-0.1131751867851515,-0.1108230362475171,-0.0696209613411941,-0.1004143131541139,-0.0908915364839068,-0.0769284775643273,0.0195308221587099,-0.00512445095168379,0.5564121969332034
2015-02-05,27180,27380,26920,27160,6770400,10.23,1.46,15.03,0.0,0.0081001472754049,-0.0088365243004417,-0.0007358351729213,-0.2742552712538455,-0.0038145539906103,-0.3003573443671243,-0.0108529390341612,-0.3606068304310502,-0.0007725985063095,-0.4172117251450536,0.0397366204731644,-0.4545209178600274,0.0900699020034114,-0.4715262563535554,0.0178571428571428,-0.0227317797382328,0.0036408890489775,-0.0276489248673882,-0.0701501678265097,-0.0743337068011986,-0.0379633843973781,-0.0894481862223797,-0.1618361419299122,0.0132450664726846,0.0376039204388709,0.0504311591609542,0.0488291475116373,-0.0356346053632561,0.0663180905116389,0.1794932772967904,-0.0169601639434952,-0.0649503039882359,-0.0868450205310164,-0.0799399587639674,0.0223904962632553,-0.0007358351729213064,0.5564121969332034
2015-02-06,26920,27480,26720,27440,8005050,10.23,1.46,15.03,-0.0088365243004417,0.0014577259475219,-0.0262390670553935,0.0103092783505154,0.1823599787309464,0.0054228345302653,-0.0063183113102738,0.0003645643456069,-0.2076890795394035,0.007379125518558,-0.3070353221497353,0.0485689174213763,-0.3514450916224931,0.1005568293481822,-0.3708097227433966,-0.0340847340116551,-0.051941876868798,-0.0013926933833969,-0.0232844809943241,-0.0709309046774297,-0.076466404828237,-0.0382617906989864,-0.0345032198424744,0.0549449663799053,-0.0113154161053695,0.0347765205893567,0.0461344269304816,0.0491670857595667,-0.0353115410060505,0.0745716766291278,0.0082535861174889,0.0132428119782335,-0.0417544369960726,-0.0793483425455289,-0.0780202809747162,0.0224297337415269,0.010309278350515427,0.5564121969332034
2015-02-09,27200,27980,27140,27900,8693500,10.23,1.46,15.03,-0.0087463556851311,0.0028673835125447,-0.0272401433691755,0.0167638483965013,0.0860019612619533,0.0182481751824816,0.1304279983616043,0.0166897456453611,-0.126932478493425,0.0213046343070502,-0.2486361083784183,0.0639109212934716,-0.2953007009502517,0.1180422905841338,-0.3165628460890646,-0.2417783401391844,-0.2076936061275293,-0.0491020350164044,-0.0425339651781347,-0.0796004664582136,-0.0812109248091608,-0.0408321070856953,0.1743486512911945,0.208851871133669,0.0312969241709285,0.0536768902243115,0.054185825430612,0.0527053583968773,-0.0312167715028247,0.0738770345660551,-0.0006946420630727,0.0198478928768071,-0.0108113093015196,-0.0637628699942026,-0.0766601367630659,0.0209443718833111,0.016763848396501357,0.5564121969332034
2015-02-10,28000,28000,27540,27560,6519350,10.23,1.46,15.03,0.0035842293906809,0.0159651669085632,-0.0007256894049346,-0.0121863799283153,-0.2500891470638983,0.0040804430195278,-0.1709290081694525,0.0059128403533104,-0.3218642064109985,0.0074204042840955,-0.4221248955156144,0.04857324032974,-0.4679241702744402,0.1035771489588894,-0.4853503129403784,-0.0806982291179335,0.1610801110212509,-0.0596230475632509,-0.0300759288523914,-0.0795407010956548,-0.0854026294813947,-0.042495574552297,0.0747083681655379,-0.0996402831256565,0.0394987138198821,0.0494953548880513,0.0622684952095431,0.0578714509441908,-0.0270209566662564,0.0198102571575387,-0.0540667774085163,0.0242803744158417,-0.0164619471056308,-0.0613197484194532,-0.0777024545486427,0.0185127595524357,-0.012186379928315394,0.5564121969332034
2015-02-11,27480,27480,27080,27100,9973800,10.23,1.46,15.03,-0.0029027576197387,0.0140221402214022,-0.0007380073800737,-0.0166908563134978,0.5298764447375888,-0.0121026538349372,0.2479073922541608,-0.0092132202398361,0.0468032450081943,-0.0097562758066284,-0.0985086997598219,0.0289706496563768,-0.1852716421494915,0.0844771699547801,-0.2124042112029337,0.1351891956927149,0.2158874248106484,-0.040702992943783,-0.0193636380972269,-0.064235304699531,-0.0850204798994064,-0.0420219545724135,-0.0287252601816759,-0.1034336283472139,0.0192760706420404,0.0441000942532563,0.0595037596996307,0.0595427660408326,-0.0252969571567787,-0.0903567346447693,-0.110166991802308,0.0288440648439182,-0.0203884482486379,-0.064586734796723,-0.0795234768946357,0.0164533549891644,-0.01669085631349787,0.5564121969332034
2015-02-12,26800,27160,26620,26880,10748200,10.23,1.46,15.03,-0.0110701107011069,0.0104166666666667,-0.009672619047619,-0.0081180811808118,0.0776434257755318,-0.0181180596142607,0.223056948240665,-0.0161054172767203,0.1641750952617178,-0.0181539248274098,-0.0135539732554935,0.0188250157927984,-0.1232717148434767,0.0749993334577545,-0.1513805977919501,0.0976442567127519,-0.037544938979963,-0.0247455701726612,-0.0105523405618418,-0.0572829197838304,-0.0819493916736563,-0.0427133535443098,0.0197521445451331,0.0484774047268091,0.041116136795543,0.0271806016341138,0.0591105431831002,0.0586315040365469,-0.0241423173393833,-0.1182290988258499,-0.0278723641810806,-0.0080653730235795,-0.0125127684835373,-0.057892633827948,-0.0817323407952521,0.0160054760190722,-0.00811808118081181,0.5564121969332034
2015-02-13,27200,27220,26900,27220,6522900,10.23,1.46,15.03,0.0119047619047618,0.0,-0.0117560617193239,0.0126488095238095,-0.3931169870303864,-0.0040977608663836,-0.2318363549646412,-0.0033684827182191,-0.2116150475902704,-0.0073663481875866,-0.3813404858538626,0.0298772874601154,-0.4648497148535605,0.0878209611349785,-0.4837912511774651,-0.068980054883564,-0.1666243115963159,-0.031724634347043,-0.0165586638652199,-0.060338732418564,-0.0812225153564125,-0.0427866640981777,0.0502000643885388,0.0304479198434057,0.0580567936417457,0.023370688768188,0.0643564788932225,0.0571807997436632,-0.0226913599844191,0.0152156249520918,0.1334447237779417,-0.0199365833589867,-0.0033468856903765,-0.0466200052869801,-0.0810484700508764,0.0144925947313802,0.012648809523809534,0.5564121969332034
2015-02-16,27360,27480,27220,27480,6226500,10.23,1.46,15.03,0.0051432770022041,0.0,-0.0094614264919942,0.0095518001469507,-0.0454399116957181,0.0085143863769818,-0.2215074736032707,0.0057092665788318,-0.206238925079357,0.0009834990711397,-0.4081993825846285,0.0376729140181504,-0.4847450240221996,0.0973856557158832,-0.5062043169353025,-0.1093792660403115,-0.0403992111567475,-0.0052448195272684,-0.0271734272718364,-0.0573968729210681,-0.082752567569573,-0.0436415603104368,0.0287561230225648,-0.021443941365974,0.0289382879880197,0.0301176060794741,0.0560287390714302,0.0561747285688155,-0.020865046800231,0.0862603388741668,0.071044713922075,-0.0174599224973643,0.0011939851897214,-0.041077022585998,-0.0783550739955299,0.0135096126939937,0.009551800146950784,0.5564121969332034
